College,City,State,Type,Course,EE,Fees,Rank,Cut-off,Hostel,Placement,Package,Cost_Efficiency_Score
"Fr. Conceicao Rodrigues College of Engineering, Mumbai",Mumbai,Maharashtra,1,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",100014,252,85,1,83.77,8.52,8.52
"Thakur College of Engineering and Technology, Mumbai",Mumbai,Maharashtra,0,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","JEE, MHT-CET",103100,273,98,0,92.83,11.47,11.13
"Atharva College of Engineering, Mumbai",Mumbai,Maharashtra,1,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",181748,107,83,0,81.42,7.57,4.17
"Sardar Patel Institute of Technology, Mumbai",Mumbai,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",164011,185,80,1,95.78,6.46,3.94
"Dwarkadas J. Sanghvi College of Engineering, Mumbai",Mumbai,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",294945,227,60,0,92.88,8.89,3.01
"Vidyalankar Institute of Technology, Mumbai",Mumbai,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",252736,221,80,0,78.79,10.91,4.32
"KJ Somaiya College of Engineering, Mumbai",Mumbai,Maharashtra,1,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","JEE, MHT-CET",103273,264,50,1,95.33,6.6,6.39
"Xavier Institute of Engineering, Mumbai",Mumbai,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",97219,251,82,1,94.24,10.5,10.8
"Finolex Academy of Management and Technology, Ratnagiri",Ratnagiri,Maharashtra,1,"B.Tech, MBA","JEE, MHT-CET",101156,152,50,1,83.28,3.6,3.56
"KIT's College of Engineering, Kolhapur",Kolhapur,Maharashtra,0,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",247895,208,86,0,87.37,4.68,1.89
"Rajarambapu Institute of Technology, Sangli",Sangli,Maharashtra,1,"B.Tech, MBA","JEE, MHT-CET",242746,218,86,0,85.42,3.83,1.58
"Yeshwantrao Chavan College of Engineering, Nagpur",Nagpur,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",281865,231,70,0,94.87,3.47,1.23
"Vivekanand Education Society's Institute of Technology, Mumbai",Mumbai,Maharashtra,1,"B.A, B.Arch, B.Com, B.E, B.Ed, B.Pharm, B.Sc, B.Tech, BBA, BCA, LL.B, LL.M, M.A, M.Com, M.Ed, M.Pharm, M.Sc, M.Tech, MBA, MCA","Cat, Gate, Jee Main, Mah-B.Ed-Cet, Mah-Cet, Mah-M.Ed-Cet, Mah-Mca-Cet, Merit, Mh Cet Law, Mht-Cet",85404,160,88,0,90.51,7.34,8.59
"Lokmanya Tilak College of Engineering, Navi Mumbai",Mumbai,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",266559,241,97,0,75.1,10.71,4.02
"Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",228322,227,92,0,87.71,6.87,3.01
"Shivajirao S. Jondhale College of Engineering, Dombivli",Dombivli,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",232405,109,88,0,80.24,5.04,2.17
"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai",Mumbai,Maharashtra,0,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",239455,295,65,1,85.23,3.33,1.39
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Yavatmal,Maharashtra,1,"B.Tech, MBA","JEE, MHT-CET",293403,102,65,1,84.54,4.59,1.56
"Sipna College of Engineering and Technology, Amravati",Amravati,Maharashtra,0,"B.Tech, MBA","JEE, MHT-CET",123319,137,70,0,78.2,7.36,5.97
"Prof. Ram Meghe Institute of Technology and Research, Amravati",Amravati,Maharashtra,1,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",262040,212,70,1,86.32,9.5,3.63
